5e-07  0.475 0.5
1.53  0.008  6.33e-07
0.001251 0.666564  392.419  588.72  100
9.09349e-07  3.43709e-11  1.13983e-16
1595  3200
0.981783  1.01822  0.91942  0.0079797
2.55521  2.64472  2.62632  0.0742845
3.95318  4.04968  3.96211  0.0793519
5.04157  5.13702  5.13295  0.150406
6.28787  6.37631  6.27522  0.128213
7.36365  7.40408  7.41638  0.172669
8.544  8.59027  8.52555  0.167624
9.57707  9.58466  9.60142  0.183277
10.6437  10.6684  10.6332  0.199345
11.6163  11.6185  11.6227  0.187706
12.5777  12.584  12.574  0.21803
13.4799  13.4819  13.4789  0.192462
14.3546  14.3438  14.3499  0.225747
15.1808  15.1859  15.18  0.198014
15.9852  15.9631  15.9749  0.225063
16.7369  16.7429  16.7404  0.203282
17.4807  17.452  17.4632  0.220161
18.1644  18.1678  18.1717  0.206687
18.8514  18.8218  18.8283  0.213909
19.4767  19.4745  19.4856  0.207011
20.1085  20.0805  20.0827  0.20831
20.6847  20.6758  20.6927  0.20471
21.2622  21.2386  21.2374  0.203349
21.7965  21.7817  21.8016  0.199558
22.322  22.302  22.3001  0.198983
22.8192  22.8  22.821  0.193201
23.2973  23.2801  23.2791  0.194109
23.7605  23.739  23.7588  0.186442
24.196  24.1809  24.1817  0.188838
24.6269  24.6044  24.6227  0.179649
25.025  25.0101  25.0132  0.182805
25.4235  25.4018  25.4182  0.173413
25.7891  25.7745  25.779  0.175881
26.157  26.1366  26.1514  0.167571
26.4943  26.4791  26.4846  0.168615
26.8325  26.8133  26.8273  0.161998
27.1442  27.1284  27.1342  0.161346
27.4544  27.4366  27.45  0.15656
27.7427  27.727  27.7324  0.154223
28.0275  28.0108  28.0238  0.150938
28.2936  28.2781  28.283  0.147496
28.5553  28.5391  28.552  0.145208
28.8004  28.7853  28.7898  0.141307
29.0412  29.0252  29.0379  0.139394
29.2662  29.2518  29.2561  0.135494
29.4879  29.4722  29.4845  0.133576
29.6939  29.6804  29.6846  0.130005
29.898  29.8828  29.8945  0.127805
30.0864  30.0739  30.0781  0.1246
30.2743  30.2594  30.2704  0.122221
30.4464  30.4346  30.439  0.119331
30.6188  30.6045  30.6148  0.116928
30.776  30.7649  30.7694  0.11411
30.9338  30.92  30.9297  0.111895
31.0772  31.0667  31.0713  0.108952
31.2211  31.2081  31.2172  0.107108
31.352  31.3419  31.3465  0.103906
31.4829  31.4705  31.4791  0.102513
31.6021  31.5924  31.5969  0.0990331
31.7206  31.7089  31.7172  0.0980946
31.829  31.8196  31.8239  0.0943839
31.936  31.925  31.9328  0.0937846
32.0341  32.0251  32.0292  0.0899677
32.1305  32.12  32.1276  0.0895696
32.2189  32.2103  32.2141  0.0857827
32.3054  32.2954  32.3026  0.0854537
32.3846  32.3764  32.3801  0.0818165
32.4619  32.4524  32.4593  0.0814582
32.5324  32.5246  32.5282  0.0780385
32.6011  32.5921  32.5986  0.0775979
32.6635  32.6561  32.6596  0.0744042
32.7241  32.7156  32.7217  0.0738877
32.7788  32.7719  32.7753  0.0708885
32.832  32.8238  32.8296  0.0703368
32.8795  32.8729  32.8763  0.0674801
32.9255  32.9178  32.9232  0.0669524
32.9663  32.9601  32.9634  0.0641776
33.0055  32.9982  33.0034  0.0637176
33.0401  33.0342  33.0374  0.0609806
33.073  33.0661  33.0709  0.0606165
33.1017  33.0961  33.0992  0.0579004
33.1285  33.1221  33.1267  0.0576342
33.1518  33.1465  33.1494  0.0549465
33.173  33.1669  33.1713  0.0547573
33.191  33.186  33.1887  0.0521225
33.2069  33.2012  33.2053  0.0519761
33.2201  33.2152  33.2179  0.0494248
33.231  33.2256  33.2295  0.0492866
33.2395  33.2349  33.2374  0.0468463
33.2458  33.2407  33.2444  0.0466893
33.2498  33.2455  33.248  0.0443763
33.2518  33.247  33.2505  0.0441879
33.2517  33.2476  33.25  0.0420038
33.2495  33.245  33.2484  0.0417844
33.2455  33.2417  33.2439  0.0397185
33.2395  33.2353  33.2384  0.0394787
33.2318  33.2282  33.2304  0.0375128
33.2222  33.2182  33.2211  0.0372687
33.211  33.2076  33.2097  0.0353841
33.1979  33.1942  33.197  0.0351502
33.1835  33.1803  33.1823  0.0333311
33.1671  33.1636  33.1663  0.0331164
33.1496  33.1467  33.1485  0.0313542
33.1302  33.1269  33.1295  0.0311604
33.1098  33.107  33.1088  0.0294537
33.0875  33.0845  33.0869  0.0292763
33.0644  33.0618  33.0635  0.0276292
33.0394  33.0366  33.0388  0.0274598
33.0137  33.0113  33.0129  0.0258786
32.9862  32.9835  32.9856  0.0257081
32.958  32.9557  32.9572  0.0241984
32.9281  32.9256  32.9276  0.0240196
32.8976  32.8955  32.8969  0.0225841
32.8654  32.8631  32.865  0.0223936
32.8328  32.8308  32.8322  0.0210311
32.7985  32.7964  32.7982  0.0208297
32.7638  32.762  32.7633  0.0195354
32.7275  32.7256  32.7272  0.0193266
32.6909  32.6892  32.6904  0.0180937
32.6528  32.6509  32.6525  0.0178825
32.6143  32.6127  32.6139  0.0167036
32.5744  32.5727  32.5742  0.0164948
32.5342  32.5328  32.5339  0.0153638
