5e-07  0.475 0.5
1.53  0.008  6.94e-07
27.0752  27.0755  27.0756  -0.00435849
27.0157  27.0159  27.0161  -0.00447176
26.9564  26.9567  26.9568  -0.00495196
26.8965  26.8969  26.897  -0.00506452
26.837  26.8373  26.8374  -0.00552108
26.7768  26.7772  26.7774  -0.00563306
26.717  26.7174  26.7175  -0.00606699
26.6566  26.657  26.6571  -0.00617815
26.5965  26.597  26.597  -0.00659075
26.5359  26.5364  26.5365  -0.00670059
26.4756  26.4761  26.4761  -0.00709328
26.4148  26.4153  26.4154  -0.00720121
26.3543  26.3549  26.3548  -0.00757538
26.2934  26.2939  26.294  -0.00768091
26.2327  26.2333  26.2333  -0.00803777
26.1717  26.1723  26.1723  -0.00814058
26.1109  26.1115  26.1114  -0.00848109
26.0497  26.0503  26.0503  -0.00858112
25.9888  25.9895  25.9894  -0.00890597
25.9276  25.9282  25.9282  -0.00900333
25.8666  25.8672  25.8671  -0.00931302
25.8053  25.8059  25.8059  -0.00940795
25.7442  25.7449  25.7448  -0.00970292
25.6828  25.6836  25.6835  -0.00979564
25.6217  25.6225  25.6223  -0.0100763
25.5604  25.5611  25.561  -0.010167
25.4993  25.5  25.4998  -0.0104339
25.4379  25.4386  25.4385  -0.0105226
25.3767  25.3775  25.3773  -0.0107764
25.3154  25.3162  25.316  -0.0108629
25.2543  25.2551  25.2549  -0.0111043
25.1929  25.1938  25.1936  -0.0111885
25.1319  25.1327  25.1325  -0.0114182
25.0706  25.0714  25.0712  -0.0115
25.0095  25.0104  25.0102  -0.0117186
24.9483  24.9492  24.949  -0.0117978
24.8873  24.8882  24.888  -0.0120061
24.8262  24.8271  24.8268  -0.0120826
24.7653  24.7662  24.7659  -0.0122809
24.7042  24.7051  24.7049  -0.0123548
24.6434  24.6443  24.6441  -0.0125436
24.5825  24.5834  24.5831  -0.012615
24.5218  24.5227  24.5224  -0.0127946
24.4609  24.4619  24.4616  -0.0128636
24.4003  24.4013  24.401  -0.0130343
24.3396  24.3406  24.3403  -0.0131009
24.2791  24.2801  24.2798  -0.0132632
24.2186  24.2195  24.2192  -0.0133275
24.1582  24.1592  24.1589  -0.0134816
24.0978  24.0988  24.0985  -0.0135437
24.0376  24.0386  24.0383  -0.0136899
23.9773  23.9783  23.978  -0.0137498
23.9173  23.9183  23.9179  -0.0138886
23.8572  23.8582  23.8579  -0.0139462
23.7973  23.7983  23.798  -0.0140779
23.7374  23.7384  23.738  -0.0141332
